Column 1,Column 2,Column 3,Column 4,Column 5
X,CH 1,CH 2,Start,Increment
µs, V, V,-3.000000e-03,5.000000e-06
-6673.814675,5.60,0.40,,
-6671.814430,5.60,0.40,,
-6669.814186,5.60,0.40,,
-6667.813942,5.60,0.40,,
-6665.813698,5.60,0.40,,
-6663.813454,5.60,0.40,,
-6661.813210,5.60,0.40,,
-6659.812965,5.40,0.40,,
-6657.812721,5.60,0.40,,
-6655.812477,5.60,0.40,,
-6653.812233,5.60,0.40,,
-6651.811989,5.60,0.40,,
-6649.811745,5.40,0.40,,
-6647.811500,5.60,0.40,,
-6645.811256,5.60,0.40,,
-6643.811012,5.60,0.40,,
-6641.810768,5.60,0.40,,
-6639.810524,5.60,0.40,,
-6637.810280,5.60,0.40,,
-6635.810035,5.40,0.40,,
-6633.809791,5.60,0.40,,
-6631.809547,5.60,0.40,,
-6629.809303,5.40,0.40,,
-6627.809059,5.60,0.40,,
-6625.808815,5.60,0.40,,
-6623.808570,5.60,0.40,,
-6621.808326,5.60,0.40,,
-6619.808082,5.60,0.40,,
-6617.807838,5.60,0.40,,
-6615.807594,5.60,0.40,,
-6613.807350,5.40,0.40,,
-6611.807105,5.60,0.40,,
-6609.806861,5.60,0.40,,
-6607.806617,5.40,0.40,,
-6605.806373,5.40,0.40,,
-6603.806129,5.40,0.40,,
-6601.805885,5.40,0.40,,
-6599.805640,5.60,0.40,,
-6597.805396,5.60,0.40,,
-6595.805152,5.60,0.40,,
-6593.804908,5.60,0.40,,
-6591.804664,5.60,0.40,,
-6589.804419,5.40,0.40,,
-6587.804175,5.60,0.40,,
